Arena,Level,Mission Type
1324,6093,Loot veggies
1325,6098,Loot reptiloids and eggs
1326,6102,Normal
1327,6107,Normal
1328,6111,Normal
1329,6116,Normal
1330,6120,Destroy container
1331,6125,Normal
1332,6129,Normal
1333,6134,Loot veggies
1334,6138,Normal
1335,6143,Normal
1336,6147,Normal
1337,6152,Normal
1338,6156,Normal
1339,6161,Normal
1340,6165,Loot veggies
1341,6170,Normal
1342,6174,Loot reptiloids and eggs
1343,6179,Normal
1344,6183,Normal
1345,6188,Normal
1346,6192,Loot reptiloids and eggs
1347,6197,Normal
1348,6201,Loot meat
1349,6206,Destroy container
1350,6210,Loot meat
1351,6215,Loot reptiloids and eggs
1352,6219,Normal
1353,6224,Loot veggies
1354,6228,Normal
1355,6233,Loot meat
1356,6237,Normal
1357,6242,Normal
1358,6246,Normal
1359,6251,Normal
1360,6255,Destroy container
1361,6260,Normal
1362,6264,Loot meat
1363,6269,Normal
1364,6273,Loot meat
1365,6278,Normal
1366,6282,Loot meat
1367,6287,Loot reptiloids and eggs
1368,6291,Normal
1369,6296,Normal
1370,6300,Normal
1371,6305,Loot veggies
1372,6309,Normal
1373,6314,Normal
1374,6318,Normal
1375,6323,Normal
1376,6327,Destroy container
1377,6332,Normal
1378,6336,Destroy container
1379,6341,Normal
1380,6345,Loot veggies
1381,6350,Normal
1382,6354,Normal
1383,6359,Normal
1384,6363,Normal
1385,6368,Normal
1386,6372,Normal
1387,6377,Normal
1388,6381,Normal
1389,6386,Loot meat
1390,6390,Destroy container
1391,6395,Loot meat
1392,6399,Normal
1393,6404,Normal
1394,6408,Normal
1395,6413,Normal
1396,6417,Normal
1397,6422,Normal
1398,6426,Loot veggies
1399,6431,Normal
1400,6435,Normal
1401,6440,None
1402,6444,None
1403,6449,Loot meat
1404,6453,None
1405,6458,Destroy container
1406,6462,Destroy container
1407,6467,None
1408,6471,Loot reptiloids and eggs
1409,6476,Destroy container
1410,6480,Loot reptiloids and eggs
1411,6485,None
1412,6489,Loot reptiloids and eggs
1413,6494,None
1414,6498,Loot reptiloids and eggs
1415,6503,None
1416,6507,None
1417,6512,Destroy container
1418,6516,Destroy container
1419,6521,Loot reptiloids and eggs
1420,6525,None
1421,6530,Loot reptiloids and eggs
1422,6534,None
1423,6539,None
1424,6543,None
1425,6548,None
1426,6552,Loot meat
1427,6557,None
1428,6561,None
1429,6566,Loot meat
1430,6570,None
1431,6575,None
1432,6579,Loot meat
1433,6584,None
1434,6588,Loot reptiloids and eggs
1435,6593,Loot veggies
1436,6597,None
1437,6602,Destroy container
1438,6606,None
1439,6611,Loot meat
1440,6615,None
1441,6620,Loot veggies
1442,6624,None
1443,6629,None
1444,6633,Destroy container
1445,6638,None
1446,6642,None
1447,6647,None
1448,6651,None
1449,6656,Loot veggies
1450,6660,None
1451,6665,Loot reptiloids and eggs
1452,6669,None
1453,6674,Destroy container
1454,6678,None
1455,6683,Loot reptiloids and eggs
1456,6687,None
1457,6692,Destroy container
1458,6696,None
1459,6701,None
1460,6705,Destroy container
1461,6710,Loot meat
1462,6714,None
1463,6719,None
1464,6723,None
1465,6728,None
1466,6732,None
1467,6737,Loot reptiloids and eggs
1468,6741,None
1469,6746,None
1470,6750,Loot meat
1471,6755,None
1472,6759,None
1473,6764,None
1474,6768,None
1475,6773,None
1476,6777,None
1477,6782,Destroy container
1478,6786,None
1479,6791,None
1480,6795,Loot veggies
1481,6800,None
1482,6804,Loot reptiloids and eggs
1483,6809,None
1484,6813,None
1485,6818,None
1486,6822,None
1487,6827,Loot meat
1488,6831,None
1489,6836,None
1490,6840,None
1491,6845,Loot reptiloids and eggs
1492,6849,None
1493,6854,None
1494,6858,Loot veggies
1495,6863,Loot reptiloids and eggs
1496,6867,None
1497,6872,None
1498,6876,None
1499,6881,None
1500,6885,Destroy container
1501,6890,None
1502,6894,Loot meat
1503,6899,Loot veggies
1504,6903,None
1505,6908,None
1506,6912,None
1507,6917,None
1508,6921,None
1509,6926,None
1510,6930,Loot veggies
1511,6935,Loot veggies
1512,6939,None
1513,6944,None
1514,6948,None
1515,6953,None
1516,6957,Loot reptiloids and eggs
1517,6962,None
1518,6966,Loot meat
1519,6971,Destroy container
1520,6975,Loot meat
1521,6980,None
1522,6984,None
1523,6989,Loot veggies
1524,6993,None
1525,6998,Loot meat
1526,7002,None
1527,7007,None
1528,7011,None
1529,7016,None
1530,7020,Destroy container
1531,7025,Loot meat
1532,7029,None
1533,7034,None
1534,7038,Loot meat
1535,7043,None
1536,7047,Loot meat
1537,7052,Loot reptiloids and eggs
1538,7056,None
1539,7061,None
1540,7065,None
1541,7070,None
1542,7074,None
1543,7079,None
1544,7083,None
1545,7088,None
1546,7092,Destroy container
1547,7097, None
1548,7101,Destroy container
1549,7106,None
1550,7110,Loot veggies
1551,7115,None
1552,7119,Loot reptiloids and eggs
1553,7124,None
1554,7128,None
1555,7133,None
1556,7137,None
1557,7142,None
1558,7146,None
1559,7151,Loot meat
1560,7155,Destroy container
1561,7160,Loot reptiloids and eggs
1562,7164,None
1563,7169,None
1564,7173,None
1565,7178,None
1566,7182,None
1567,7187,None
1568,7191,Loot veggies
1569,7196,None
1570,7200,None
1571,7205,None
1572,7209,Loot meat
1573,7214,None
1574,7218,None
1575,7223,Destroy container
1576,7227,Destroy container
1577,7232,None
1578,7236,Loot reptiloids and eggs
1579,7241,Destroy container
1580,7245,Loot reptiloids and eggs
1581,7250,Loot veggies
1582,7254,None
1583,7259,Destroy container
1584,7263,Loot reptiloids and eggs
1585,7268,None
1586,7272,None
1587,7277,Destroy container
1588,7281,Destroy container
1589,7286,Loot reptiloids and eggs
1590,7290,None
1591,7295,Loot reptiloids and eggs
1592,7299,None
1593,7304,None
1594,7308,None
1595,7313,None
1596,7317,Loot meat
1597,7322,None
1598,7326,None
1599,7331,Loot meat
1600,7335,None
